No    	Word                	Translate           	Count 	Freq 	Cum_Freq
1283  	all_word            	翻译                  	4108  	100% 	 100%
__________________________________________________________________________________________________
1     	the                 	                    	228   	5.5501%	5.5501%
2     	to                  	                    	132   	3.2132%	8.7634%
3     	of                  	                    	109   	2.6534%	11.4167%
4     	and                 	                    	81    	1.9718%	13.3885%
5     	in                  	                    	77    	1.8744%	15.2629%
6     	are                 	                    	74    	1.8014%	17.0643%
7     	it                  	                    	70    	1.7040%	18.7683%
8     	is                  	                    	63    	1.5336%	20.3019%
9     	they                	                    	57    	1.3875%	21.6894%
10    	on                  	                    	48    	1.1685%	22.8578%
11    	for                 	                    	45    	1.0954%	23.9533%
12    	have                	                    	35    	0.8520%	24.8053%
13    	you                 	                    	34    	0.8277%	25.6329%
14    	that                	                    	33    	0.8033%	26.4362%
15    	be                  	                    	32    	0.7790%	27.2152%
16    	from                	                    	30    	0.7303%	27.9455%
17    	with                	                    	29    	0.7059%	28.6514%
18    	their               	                    	27    	0.6573%	29.3087%
19    	this                	                    	26    	0.6329%	29.9416%
20    	as                  	                    	25    	0.6086%	30.5501%
21    	not                 	                    	24    	0.5842%	31.1344%
22    	more                	                    	22    	0.5355%	31.6699%
23    	will                	                    	21    	0.5112%	32.1811%
24    	one                 	                    	20    	0.4869%	32.6680%
25    	about               	                    	20    	0.4869%	33.1548%
26    	at                  	                    	19    	0.4625%	33.6173%
27    	questions           	                    	19    	0.4625%	34.0798%
28    	new                 	                    	19    	0.4625%	34.5424%
29    	our                 	                    	19    	0.4625%	35.0049%
30    	or                  	                    	18    	0.4382%	35.4430%
31    	by                  	                    	18    	0.4382%	35.8812%
32    	climate             	                    	17    	0.4138%	36.2950%
33    	problems            	                    	17    	0.4138%	36.7089%
34    	what                	                    	16    	0.3895%	37.0983%
35    	who                 	                    	15    	0.3651%	37.4635%
36    	passage             	                    	15    	0.3651%	37.8286%
37    	just                	                    	14    	0.3408%	38.1694%
38    	countries           	                    	14    	0.3408%	38.5102%
39    	there               	                    	14    	0.3408%	38.8510%
40    	group               	                    	14    	0.3408%	39.1918%
41    	answer              	                    	13    	0.3165%	39.5083%
42    	can                 	                    	13    	0.3165%	39.8247%
43    	many                	                    	13    	0.3165%	40.1412%
44    	behaviors           	                    	13    	0.3165%	40.4576%
45    	than                	                    	12    	0.2921%	40.7498%
46    	section             	                    	12    	0.2921%	41.0419%
47    	each                	                    	12    	0.2921%	41.3340%
48    	only                	                    	12    	0.2921%	41.6261%
49    	all                 	                    	12    	0.2921%	41.9182%
50    	nations             	                    	12    	0.2921%	42.2103%
51    	was                 	                    	12    	0.2921%	42.5024%
52    	devices             	                    	12    	0.2921%	42.7945%
53    	but                 	                    	11    	0.2678%	43.0623%
54    	technology          	                    	11    	0.2678%	43.3301%
55    	teenagers           	                    	11    	0.2678%	43.5979%
56    	risk                	                    	11    	0.2678%	43.8656%
57    	part                	                    	10    	0.2434%	44.1091%
58    	based               	                    	10    	0.2434%	44.3525%
59    	do                  	                    	10    	0.2434%	44.5959%
60    	them                	                    	10    	0.2434%	44.8393%
61    	may                 	                    	10    	0.2434%	45.0828%
62    	show                	                    	10    	0.2434%	45.3262%
63    	companies           	                    	10    	0.2434%	45.5696%
64    	these               	                    	10    	0.2434%	45.8130%
65    	consumers           	                    	10    	0.2434%	46.0565%
66    	said                	                    	10    	0.2434%	46.2999%
67    	mental              	                    	10    	0.2434%	46.5433%
68    	global              	                    	9     	0.2191%	46.7624%
69    	change              	                    	9     	0.2191%	46.9815%
70    	most                	                    	9     	0.2191%	47.2006%
71    	agreement           	                    	9     	0.2191%	47.4197%
72    	some                	                    	9     	0.2191%	47.6388%
73    	we                  	                    	9     	0.2191%	47.8578%
74    	emissions           	                    	9     	0.2191%	48.0769%
75    	directions          	                    	8     	0.1947%	48.2717%
76    	your                	                    	8     	0.1947%	48.4664%
77    	should              	                    	8     	0.1947%	48.6611%
78    	hear                	                    	8     	0.1947%	48.8559%
79    	once                	                    	8     	0.1947%	49.0506%
80    	letter              	                    	8     	0.1947%	49.2454%
81    	through             	                    	8     	0.1947%	49.4401%
82    	people              	                    	8     	0.1947%	49.6349%
83    	when                	                    	8     	0.1947%	49.8296%
84    	while               	                    	8     	0.1947%	50.0243%
85    	even                	                    	8     	0.1947%	50.2191%
86    	an                  	                    	8     	0.1947%	50.4138%
87    	has                 	                    	8     	0.1947%	50.6086%
88    	study               	                    	8     	0.1947%	50.8033%
89    	innovation          	                    	7     	0.1704%	50.9737%
90    	no                  	                    	7     	0.1704%	51.1441%
91    	four                	                    	7     	0.1704%	51.3145%
92    	sheet               	                    	7     	0.1704%	51.4849%
93    	heard               	                    	7     	0.1704%	51.6553%
94    	time                	                    	7     	0.1704%	51.8257%
95    	good                	                    	7     	0.1704%	51.9961%
96    	into                	                    	7     	0.1704%	52.1665%
97    	been                	                    	7     	0.1704%	52.3369%
98    	use                 	                    	7     	0.1704%	52.5073%
99    	why                 	                    	7     	0.1704%	52.6777%
100   	consumer            	                    	7     	0.1704%	52.8481%
101   	found               	                    	7     	0.1704%	53.0185%
102   	very                	                    	7     	0.1704%	53.1889%
103   	depression          	                    	7     	0.1704%	53.3593%
104   	minutes             	                    	6     	0.1461%	53.5054%
105   	must                	                    	6     	0.1461%	53.6514%
106   	best                	                    	6     	0.1461%	53.7975%
107   	choices             	                    	6     	0.1461%	53.9435%
108   	corresponding       	                    	6     	0.1461%	54.0896%
109   	single              	                    	6     	0.1461%	54.2356%
110   	make                	                    	6     	0.1461%	54.3817%
111   	lives               	                    	6     	0.1461%	54.5278%
112   	before              	                    	6     	0.1461%	54.6738%
113   	well                	                    	6     	0.1461%	54.8199%
114   	out                 	                    	6     	0.1461%	54.9659%
115   	research            	                    	6     	0.1461%	55.1120%
116   	need                	                    	6     	0.1461%	55.2580%
117   	up                  	                    	6     	0.1461%	55.4041%
118   	health              	                    	6     	0.1461%	55.5501%
119   	too                 	                    	6     	0.1461%	55.6962%
120   	any                 	                    	6     	0.1461%	55.8423%
121   	products            	                    	6     	0.1461%	55.9883%
122   	also                	                    	6     	0.1461%	56.1344%
123   	get                 	                    	6     	0.1461%	56.2804%
124   	having              	                    	6     	0.1461%	56.4265%
125   	year                	                    	6     	0.1461%	56.5725%
126   	now                 	                    	6     	0.1461%	56.7186%
127   	high                	                    	6     	0.1461%	56.8647%
128   	does                	                    	6     	0.1461%	57.0107%
129   	invisible           	                    	6     	0.1461%	57.1568%
130   	conversation        	                    	5     	0.1217%	57.2785%
131   	choose              	                    	5     	0.1217%	57.4002%
132   	marked              	                    	5     	0.1217%	57.5219%
133   	mark                	                    	5     	0.1217%	57.6436%
134   	line                	                    	5     	0.1217%	57.7653%
135   	centre              	                    	5     	0.1217%	57.8870%
136   	science             	                    	5     	0.1217%	58.0088%
137   	take                	                    	5     	0.1217%	58.1305%
138   	among               	                    	5     	0.1217%	58.2522%
139   	world               	                    	5     	0.1217%	58.3739%
140   	whether             	                    	5     	0.1217%	58.4956%
141   	how                 	                    	5     	0.1217%	58.6173%
142   	becoming            	                    	5     	0.1217%	58.7390%
143   	little              	                    	5     	0.1217%	58.8608%
144   	money               	                    	5     	0.1217%	58.9825%
145   	hard                	                    	5     	0.1217%	59.1042%
146   	three               	                    	5     	0.1217%	59.2259%
147   	life                	                    	5     	0.1217%	59.3476%
148   	come                	                    	5     	0.1217%	59.4693%
149   	so                  	                    	5     	0.1217%	59.5910%
150   	other               	                    	5     	0.1217%	59.7128%
151   	scientists          	                    	5     	0.1217%	59.8345%
152   	public              	                    	5     	0.1217%	59.9562%
153   	still               	                    	5     	0.1217%	60.0779%
154   	market              	                    	5     	0.1217%	60.1996%
155   	which               	                    	5     	0.1217%	60.3213%
156   	year's              	                    	5     	0.1217%	60.4430%
157   	smart               	                    	5     	0.1217%	60.5648%
158   	like                	                    	5     	0.1217%	60.6865%
159   	years               	                    	5     	0.1217%	60.8082%
160   	because             	                    	5     	0.1217%	60.9299%
161   	percent             	                    	5     	0.1217%	61.0516%
162   	often               	                    	5     	0.1217%	61.1733%
163   	electronic          	                    	5     	0.1217%	61.2950%
164   	paris               	                    	5     	0.1217%	61.4167%
165   	climate-vulnerable  	                    	5     	0.1217%	61.5385%
166   	author              	                    	5     	0.1217%	61.6602%
167   	media               	                    	5     	0.1217%	61.7819%
168   	words               	                    	4     	0.0974%	61.8793%
169   	after               	                    	4     	0.0974%	61.9766%
170   	question            	                    	4     	0.0974%	62.0740%
171   	issues              	                    	4     	0.0974%	62.1714%
172   	would               	                    	4     	0.0974%	62.2687%
173   	its                 	                    	4     	0.0974%	62.3661%
174   	important           	                    	4     	0.0974%	62.4635%
175   	work                	                    	4     	0.0974%	62.5609%
176   	water               	                    	4     	0.0974%	62.6582%
177   	feel                	                    	4     	0.0974%	62.7556%
178   	without             	                    	4     	0.0974%	62.8530%
179   	heavy               	                    	4     	0.0974%	62.9503%
180   	fashion             	                    	4     	0.0974%	63.0477%
181   	she                 	                    	4     	0.0974%	63.1451%
182   	nine                	                    	4     	0.0974%	63.2425%
183   	following           	                    	4     	0.0974%	63.3398%
184   	seen                	                    	4     	0.0974%	63.4372%
185   	own                 	                    	4     	0.0974%	63.5346%
186   	information         	                    	4     	0.0974%	63.6319%
187   	electronics         	                    	4     	0.0974%	63.7293%
188   	gadgets             	                    	4     	0.0974%	63.8267%
189   	could               	                    	4     	0.0974%	63.9241%
190   	think               	                    	4     	0.0974%	64.0214%
191   	enough              	                    	4     	0.0974%	64.1188%
192   	almost              	                    	4     	0.0974%	64.2162%
193   	practical           	                    	4     	0.0974%	64.3135%
194   	he                  	                    	4     	0.0974%	64.4109%
195   	much                	                    	4     	0.0974%	64.5083%
196   	were                	                    	4     	0.0974%	64.6056%
197   	federal             	                    	4     	0.0974%	64.7030%
198   	responsible         	                    	4     	0.0974%	64.8004%
199   	greenhouse          	                    	4     	0.0974%	64.8978%
200   	developed           	                    	4     	0.0974%	64.9951%
201   	symptoms            	                    	4     	0.0974%	65.0925%
202   	says                	                    	4     	0.0974%	65.1899%
203   	high-risk           	                    	4     	0.0974%	65.2872%
204   	write               	                    	3     	0.0730%	65.3603%
205   	two                 	                    	3     	0.0730%	65.4333%
206   	long                	                    	3     	0.0730%	65.5063%
207   	both                	                    	3     	0.0730%	65.5794%
208   	then                	                    	3     	0.0730%	65.6524%
209   	deal                	                    	3     	0.0730%	65.7254%
210   	being               	                    	3     	0.0730%	65.7984%
211   	something           	                    	3     	0.0730%	65.8715%
212   	huge                	                    	3     	0.0730%	65.9445%
213   	small               	                    	3     	0.0730%	66.0175%
214   	big                 	                    	3     	0.0730%	66.0906%
215   	if                  	                    	3     	0.0730%	66.1636%
216   	first               	                    	3     	0.0730%	66.2366%
217   	way                 	                    	3     	0.0730%	66.3096%
218   	troubles            	                    	3     	0.0730%	66.3827%
219   	focus               	                    	3     	0.0730%	66.4557%
220   	made                	                    	3     	0.0730%	66.5287%
221   	had                 	                    	3     	0.0730%	66.6018%
222   	government          	                    	3     	0.0730%	66.6748%
223   	support             	                    	3     	0.0730%	66.7478%
224   	easy                	                    	3     	0.0730%	66.8208%
225   	bank                	                    	3     	0.0730%	66.8939%
226   	requires            	                    	3     	0.0730%	66.9669%
227   	works               	                    	3     	0.0730%	67.0399%
228   	states              	                    	3     	0.0730%	67.1130%
229   	nearly              	                    	3     	0.0730%	67.1860%
230   	going               	                    	3     	0.0730%	67.2590%
231   	paragraph           	                    	3     	0.0730%	67.3320%
232   	same                	                    	3     	0.0730%	67.4051%
233   	last                	                    	3     	0.0730%	67.4781%
234   	drones              	                    	3     	0.0730%	67.5511%
235   	upon                	                    	3     	0.0730%	67.6241%
236   	however             	                    	3     	0.0730%	67.6972%
237   	ways                	                    	3     	0.0730%	67.7702%
238   	tech                	                    	3     	0.0730%	67.8432%
239   	seems               	                    	3     	0.0730%	67.9163%
240   	wonder              	                    	3     	0.0730%	67.9893%
241   	his                 	                    	3     	0.0730%	68.0623%
242   	effectively         	                    	3     	0.0730%	68.1353%
243   	home                	                    	3     	0.0730%	68.2084%
244   	example             	                    	3     	0.0730%	68.2814%
245   	smartphone          	                    	3     	0.0730%	68.3544%
246   	solutions           	                    	3     	0.0730%	68.4275%
247   	accenture           	                    	3     	0.0730%	68.5005%
248   	survey              	                    	3     	0.0730%	68.5735%
249   	services            	                    	3     	0.0730%	68.6465%
250   	talk                	                    	3     	0.0730%	68.7196%
251   	every               	                    	3     	0.0730%	68.7926%
252   	using               	                    	3     	0.0730%	68.8656%
253   	fewer               	                    	3     	0.0730%	68.9387%
254   	world's             	                    	3     	0.0730%	69.0117%
255   	keep                	                    	3     	0.0730%	69.0847%
256   	below               	                    	3     	0.0730%	69.1577%
257   	few                 	                    	3     	0.0730%	69.2308%
258   	forced              	                    	3     	0.0730%	69.3038%
259   	riders              	                    	3     	0.0730%	69.3768%
260   	getting             	                    	3     	0.0730%	69.4499%
261   	reduce              	                    	3     	0.0730%	69.5229%
262   	responsibility      	                    	3     	0.0730%	69.5959%
263   	anxiety             	                    	3     	0.0730%	69.6689%
264   	alcohol             	                    	3     	0.0730%	69.7420%
265   	drugs               	                    	3     	0.0730%	69.8150%
266   	parents             	                    	3     	0.0730%	69.8880%
267   	teachers            	                    	3     	0.0730%	69.9611%
268   	teens               	                    	3     	0.0730%	70.0341%
269   	carli               	                    	3     	0.0730%	70.1071%
270   	scored              	                    	3     	0.0730%	70.1801%
271   	teenagers'          	                    	3     	0.0730%	70.2532%
272   	psychological       	                    	3     	0.0730%	70.3262%
273   	allowed             	                    	2     	0.0487%	70.3749%
274   	essay               	                    	2     	0.0487%	70.4236%
275   	creation            	                    	2     	0.0487%	70.4722%
276   	invention           	                    	2     	0.0487%	70.5209%
277   	taken               	                    	2     	0.0487%	70.5696%
278   	required            	                    	2     	0.0487%	70.6183%
279   	comprehension       	                    	2     	0.0487%	70.6670%
280   	end                 	                    	2     	0.0487%	70.7157%
281   	spoken              	                    	2     	0.0487%	70.7644%
282   	focuses             	                    	2     	0.0487%	70.8130%
283   	efforts             	                    	2     	0.0487%	70.8617%
284   	warming             	                    	2     	0.0487%	70.9104%
285   	economic            	                    	2     	0.0487%	70.9591%
286   	policy              	                    	2     	0.0487%	71.0078%
287   	impacts             	                    	2     	0.0487%	71.0565%
288   	possible            	                    	2     	0.0487%	71.1052%
289   	consequences        	                    	2     	0.0487%	71.1538%
290   	consensus           	                    	2     	0.0487%	71.2025%
291   	reached             	                    	2     	0.0487%	71.2512%
292   	impact              	                    	2     	0.0487%	71.2999%
293   	confronting         	                    	2     	0.0487%	71.3486%
294   	raising             	                    	2     	0.0487%	71.3973%
295   	cooperation         	                    	2     	0.0487%	71.4460%
296   	powers              	                    	2     	0.0487%	71.4946%
297   	energy              	                    	2     	0.0487%	71.5433%
298   	carry               	                    	2     	0.0487%	71.5920%
